Order ID,Order Date,Order Mode
BTC-245712,6/22/2024,Online
NZR-891212,3/15/2024,In-Store
TDN-811093,2/29/2024,Online
MIX-746378,10/25/2024,In-Store
UGI-201465,8/18/2024,Online
YVL-326274,12/19/2024,In-Store
NAD-339602,2/18/2024,Online
YEK-987428,2/7/2024,In-Store
RWT-872441,6/18/2024,Online
CPI-519592,1/23/2024,In-Store
VYN-298760,9/18/2024,Online
TTI-504490,4/27/2024,In-Store
MQD-548505,11/4/2024,Online
INQ-887163,8/28/2024,In-Store
EPC-931737,12/23/2024,Online
ZNW-604184,4/8/2024,In-Store
MYO-440340,5/20/2024,Online
DSG-803574,4/21/2024,In-Store
JYO-617315,11/21/2024,Online
NMH-342339,6/8/2024,In-Store
HIC-342702,4/16/2024,Online
IHX-141690,10/14/2024,In-Store
ZFY-381798,7/28/2024,Online
DTA-257023,6/24/2024,In-Store
RKW-982849,4/14/2024,Online
YTF-928288,10/31/2024,In-Store
BYF-464482,8/5/2024,Online
WEE-997453,7/1/2024,In-Store
JDI-475937,4/1/2024,Online
PMF-016057,3/22/2024,In-Store
AFZ-196672,1/24/2024,Online
RAY-340575,10/3/2024,In-Store
NRR-704122,7/11/2024,Online
OUE-020778,9/10/2024,In-Store
QYA-070479,10/21/2024,Online
WWL-152671,12/18/2024,In-Store
XHO-996385,2/29/2024,Online
XOM-210568,9/1/2024,In-Store
ZMT-022457,3/24/2024,Online
UZF-990618,5/11/2024,In-Store
YIZ-536167,1/14/2024,Online
URP-701003,1/2/2024,In-Store
KGI-219987,6/19/2024,Online
OCP-808228,10/12/2024,In-Store
KSA-202828,5/27/2024,Online
JEV-634682,12/9/2024,In-Store
MVF-283019,1/28/2024,Online
YSW-355813,7/2/2024,In-Store
LRP-803159,4/1/2024,Online
ZHU-728643,5/9/2024,In-Store
LJV-275168,7/10/2024,Online
PPD-047819,7/8/2024,In-Store
THY-738097,4/26/2024,Online
INZ-133474,3/29/2024,In-Store
VWG-856547,9/20/2024,Online
ABT-268843,7/16/2024,In-Store
CUW-865430,1/24/2024,Online
MBM-741069,11/24/2024,In-Store
KQJ-001235,4/12/2024,Online
REA-513209,3/27/2024,In-Store
LWF-677768,4/9/2024,Online
LBS-810439,12/5/2024,In-Store
ARZ-296904,10/4/2024,Online
VZQ-445742,4/16/2024,In-Store
AEC-113992,4/20/2024,Online
CSF-687388,5/27/2024,In-Store
VTD-792335,4/2/2024,Online
GKM-442541,6/25/2024,In-Store
HEE-686754,4/12/2024,Online
UAS-390406,7/18/2024,In-Store
JSD-384225,7/26/2024,Online
UTS-951900,10/4/2024,In-Store
BQL-841570,4/24/2024,Online
HRR-448109,1/29/2024,In-Store
HEV-539434,8/31/2024,Online
AGU-166262,11/24/2024,In-Store
UWT-477015,8/12/2024,Online
PXZ-997751,9/19/2024,In-Store
CJV-114820,10/13/2024,Online
HWI-435693,8/1/2024,In-Store
TUH-975855,12/19/2024,Online
VJK-207176,9/6/2024,In-Store
TSM-194299,4/10/2024,Online
PCS-669873,11/28/2024,In-Store
LHH-558367,3/22/2024,Online
KOE-889608,4/27/2024,In-Store
QRI-948543,7/1/2024,Online
GIK-189195,12/20/2024,In-Store
WTV-806290,5/30/2024,Online
FZJ-411782,8/5/2024,In-Store
NPF-752480,8/20/2024,Online
EWP-440515,1/30/2024,In-Store
