Customer ID,Order ID,Product ID,Sales,Cost Price,Quantity,Discount,Discount_Amount,Total Sales,Total Cost,Profit,Total Profit
LO028977,BTC-245712,01JZ3N512GHNAJSF3HCCQ0PQYY,2.99,0.897,4,0.24,2.8704,11.96,3.588,2.093,8.372
OH046670,NZR-891212,01JZ3N56DDVK7Y600QGH2M6T1X,7.99,2.397,16,0.32,40.9088,127.84,38.352,5.593,89.488
FH015492,TDN-811093,01JZ3N53A64TW72TVK28SMMXKX,29.99,8.997,2,0.09,5.3982,59.98,17.994,20.993,41.986
ZZ015342,MIX-746378,01JZ3N572S4RVA29Y33YRWH174,2.99,0.897,4,0.01,0.1196,11.96,3.588,2.093,8.372
TV075977,UGI-201465,01JZ3N52RT7CJNB27BFS6H8BF7,1.29,0.387,11,0.34,4.8246,14.19,4.257,0.903,9.933
HL006234,YVL-326274,01JZ3N52MN6K6ZBMB2S60Y6661,4.99,1.497,2,0.36,3.5928,9.98,2.994,3.493,6.986
AA070185,NAD-339602,01JZ3N53JE4J6GB3N22CPWCHED,3.99,1.197,11,0.21,9.2169,43.89,13.167,2.793,30.723
EG051605,YEK-987428,01JZ3N52GWPC8JADTNSYW3Q2KW,79.99,23.997,11,0,0,879.89,263.967,55.993,615.923
UF034417,RWT-872441,01JZ3N50NQCRTY15T5KFHYD594,6.99,2.097,11,0.24,18.4536,76.89,23.067,4.893,53.823
CG060898,CPI-519592,01JZ3N51V0YYJTCZB369CA5D23,2.49,0.747,2,0.08,0.3984,4.98,1.494,1.743,3.486
EE025228,VYN-298760,01JZ3N5652QADWPPWJ0PWG860E,3.29,0.987,3,0.17,1.6779,9.87,2.961,2.303,6.909
CX034161,TTI-504490,01JZ3N52VR1TCRNXP4VRZN956S,2.99,0.897,20,0.03,1.794,59.8,17.94,2.093,41.86
LT073005,MQD-548505,01JZ3N51PJSSC4680WPA4VCNFH,3.49,1.047,13,0.11,4.9907,45.37,13.611,2.443,31.759
YL006843,INQ-887163,01JZ3N5386GF97V9DCN4FSQ05Z,7.99,2.397,17,0.14,19.0162,135.83,40.749,5.593,95.081
YL065975,EPC-931737,01JZ3N51GB6BDR542KWQH4HB6P,14.99,4.497,9,0.15,20.2365,134.91,40.473,10.493,94.437
YC083120,ZNW-604184,01JZ3N513CABNBV3QR2YVXZ1SQ,4.29,1.287,15,0.24,15.444,64.35,19.305,3.003,45.045
BT046086,MYO-440340,01JZ3N50R3QEBK1XYP3FC0AMBH,299.99,89.997,8,0.02,47.9984,2399.92,719.976,209.993,1679.944
WL011058,DSG-803574,01JZ3N5665EYQ6DZHK953CTJD3,5.49,1.647,14,0,0,76.86,23.058,3.843,53.802
XT003630,JYO-617315,01JZ3N51E8MR51C41QCMABZRME,5.99,1.797,8,0.05,2.396,47.92,14.376,4.193,33.544
ON076441,NMH-342339,01JZ3N5127MA9SZ1Q03R14VSK5,2.99,0.897,7,0.23,4.8139,20.93,6.279,2.093,14.651
TI096309,HIC-342702,01JZ3N55NK7Z3Q1DJRSNBS8K8A,5.99,1.797,10,0.09,5.391,59.9,17.97,4.193,41.93
AM053527,IHX-141690,01JZ3N52G9KWBBS5W8K65XVX37,5.79,1.737,17,0,0,98.43,29.529,4.053,68.901
GA094839,ZFY-381798,01JZ3N5697E2JNFMRZ7HR95BTQ,4.29,1.287,6,0.33,8.4942,25.74,7.722,3.003,18.018
CA010518,DTA-257023,01JZ3N55GPDCTQ0M16H985G9CF,3.79,1.137,9,0.33,11.2563,34.11,10.233,2.653,23.877
RC069836,RKW-982849,01JZ3N53J5FTP9096ZS78Y3PGF,17.99,5.397,11,0.18,35.6202,197.89,59.367,12.593,138.523
XW060260,YTF-928288,01JZ3N55W90654FHXC2MW9J551,79.99,23.997,7,0.34,190.3762,559.93,167.979,55.993,391.951
FR008830,BYF-464482,01JZ3N50E9A9YN8P0Z7MTKENNK,34.99,10.497,14,0.08,39.1888,489.86,146.958,24.493,342.902
YC016347,WEE-997453,01JZ3N531RZHRE7XP6J9J2DHWD,29.99,8.997,11,0.03,9.8967,329.89,98.967,20.993,230.923
PW001906,JDI-475937,01JZ3N55J2TXMQMDGPQBETRMZE,3.99,1.197,13,0.07,3.6309,51.87,15.561,2.793,36.309
LV083814,PMF-016057,01JZ3N513N96GEHXZ8EX7RV5DF,15.99,4.797,11,0,0,175.89,52.767,11.193,123.123
YO052337,AFZ-196672,01JZ3N55RBBTDXRS10FA4G33NV,3.59,1.077,10,0.23,8.257,35.9,10.77,2.513,25.13
YJ078139,RAY-340575,01JZ3N52Q3Q3X4VAX3JPA5WFX5,5.99,1.797,9,0,0,53.91,16.173,4.193,37.737
QP093917,NRR-704122,01JZ3N50Q2YVHN18ADNX70G8GG,4.49,1.347,6,0.15,4.041,26.94,8.082,3.143,18.858
LM010826,OUE-020778,01JZ3N51BYKZ5TJ5JHRAC29V9P,4.99,1.497,3,0.14,2.0958,14.97,4.491,3.493,10.479
IA020578,QYA-070479,01JZ3N55B4WPEQE6QDRFHK84BE,129.99,38.997,11,0.23,328.8747,1429.89,428.967,90.993,1000.923
CA010518,WWL-152671,01JZ3N55GPDCTQ0M16H985G9CF,3.79,1.137,2,0.18,1.3644,7.58,2.274,2.653,5.306
SZ015455,XHO-996385,01JZ3N54NS8RZ04GX2AJZ79DKT,2.49,0.747,16,0.24,9.5616,39.84,11.952,1.743,27.888
EE025228,XOM-210568,01JZ3N5652QADWPPWJ0PWG860E,3.29,0.987,17,0.38,21.2534,55.93,16.779,2.303,39.151
DU053934,ZMT-022457,01JZ3N54TVQ5KQSQJ34MB6ERHH,39.99,11.997,6,0.33,79.1802,239.94,71.982,27.993,167.958
FR010822,UZF-990618,01JZ3N50VPFAHBHC4N46WSZSEX,3.49,1.047,5,0.19,3.3155,17.45,5.235,2.443,12.215
PO009558,YIZ-536167,01JZ3N51FX8Z7WYGMVG7F0YSXT,49.99,14.997,13,0.22,142.9714,649.87,194.961,34.993,454.909
MC022478,URP-701003,01JZ3N50ESGK3P4RR5Z0YF0ESD,4.99,1.497,6,0.27,8.0838,29.94,8.982,3.493,20.958
LT063474,KGI-219987,01JZ3N532B4S3S4KC6ED2FSAGB,79.99,23.997,17,0.34,462.3422,1359.83,407.949,55.993,951.881
PN010412,OCP-808228,01JZ3N55JX79NVSRWTH1ACVZ43,3.29,0.987,15,0.19,9.3765,49.35,14.805,2.303,34.545
IR004773,KSA-202828,01JZ3N53K4648H22HQM0V0RQ0P,4.99,1.497,4,0.29,5.7884,19.96,5.988,3.493,13.972
ES037170,JEV-634682,01JZ3N54PW1A92ZNRYB7ESDGVV,34.99,10.497,4,0.24,33.5904,139.96,41.988,24.493,97.972
XH062520,MVF-283019,01JZ3N50MKM6Z86HMK0VE0X0JY,49.99,14.997,8,0.19,75.9848,399.92,119.976,34.993,279.944
PO009558,YSW-355813,01JZ3N51FX8Z7WYGMVG7F0YSXT,49.99,14.997,6,0.37,110.9778,299.94,89.982,34.993,209.958
ZX008337,LRP-803159,01JZ3N513XDWN5P1JB6VWJH35B,1.29,0.387,7,0.01,0.0903,9.03,2.709,0.903,6.321
DI067107,ZHU-728643,01JZ3N55EPTAZNA3KX60RKB3NQ,54.99,16.497,8,0.13,57.1896,439.92,131.976,38.493,307.944
LE047809,LJV-275168,01JZ3N539A5HCSF7DWWR5NDZ0T,49.99,14.997,20,0.34,339.932,999.8,299.94,34.993,699.86
SZ015455,PPD-047819,01JZ3N54NS8RZ04GX2AJZ79DKT,2.49,0.747,3,0.15,1.1205,7.47,2.241,1.743,5.229
EB064981,THY-738097,01JZ3N55A8YWVWHPYTD1RHJFHB,19.99,5.997,13,0.35,90.9545,259.87,77.961,13.993,181.909
KX027147,INZ-133474,01JZ3N558KZ286JKXHMDJF46W4,45.99,13.797,7,0.35,112.6755,321.93,96.579,32.193,225.351
IL009957,VWG-856547,01JZ3N53AE9HMTFV7P3DVP5RRC,199.99,59.997,8,0.23,367.9816,1599.92,479.976,139.993,1119.944
AC082690,ABT-268843,01JZ3N51NF43S4F83KN8ANJAGV,24.99,7.497,1,0.15,3.7485,24.99,7.497,17.493,17.493
VA049493,CUW-865430,01JZ3N51PTJBK8NSJV8GDX8NH1,2.99,0.897,20,0.08,4.784,59.8,17.94,2.093,41.86
ZJ097568,MBM-741069,01JZ3N55V7T7WD21792YV0E465,29.99,8.997,13,0.11,42.8857,389.87,116.961,20.993,272.909
WZ006306,KQJ-001235,01JZ3N55NWDR1PYN87QKB5G8GC,6.99,2.097,16,0.17,19.0128,111.84,33.552,4.893,78.288
XJ066938,REA-513209,01JZ3N50MA05MEEWM055VCTKVV,4.29,1.287,11,0.02,0.9438,47.19,14.157,3.003,33.033
KX027147,LWF-677768,01JZ3N558KZ286JKXHMDJF46W4,45.99,13.797,11,0.39,197.2971,505.89,151.767,32.193,354.123
MQ028717,LBS-810439,01JZ3N51K81J5M6WWGKV8BS5XX,11.99,3.597,14,0.01,1.6786,167.86,50.358,8.393,117.502
NB014517,ARZ-296904,01JZ3N52QCAFXYWMDDBS47DJ05,4.29,1.287,9,0.32,12.3552,38.61,11.583,3.003,27.027
PB063442,VZQ-445742,01JZ3N56NQJT7PSK1CHWNZ3WN8,4.49,1.347,20,0.15,13.47,89.8,26.94,3.143,62.86
UA071149,AEC-113992,01JZ3N51YCN1GFP18YHKZ9NARX,19.99,5.997,17,0.2,67.966,339.83,101.949,13.993,237.881
LE047809,CSF-687388,01JZ3N539A5HCSF7DWWR5NDZ0T,49.99,14.997,5,0,0,249.95,74.985,34.993,174.965
DT034609,VTD-792335,01JZ3N512SWNB2MS3TFZ1FX34N,19.99,5.997,17,0.32,108.7456,339.83,101.949,13.993,237.881
PN010412,GKM-442541,01JZ3N55JX79NVSRWTH1ACVZ43,3.29,0.987,4,0.22,2.8952,13.16,3.948,2.303,9.212
AS095657,HEE-686754,01JZ3N52Z38YMBTDKBN72BNGMJ,9.49,2.847,15,0.1,14.235,142.35,42.705,6.643,99.645
LT061731,UAS-390406,01JZ3N5605QF5QNFNAWRYMKMNK,1.99,0.597,19,0.1,3.781,37.81,11.343,1.393,26.467
RU058520,JSD-384225,01JZ3N56BQNGWJE6W17D61P2N9,59.99,17.997,4,0.08,19.1968,239.96,71.988,41.993,167.972
WT037292,UTS-951900,01JZ3N55PZNB6Y5TXZQXA1RGGC,3.99,1.197,7,0.13,3.6309,27.93,8.379,2.793,19.551
DF076925,BQL-841570,01JZ3N53TRMVHA7QGZFRK4NPM0,3.29,0.987,1,0.02,0.0658,3.29,0.987,2.303,2.303
CM032751,HRR-448109,01JZ3N50CCQKGK69VX46KMSY00,9.99,2.997,14,0,0,139.86,41.958,6.993,97.902
OF087559,HEV-539434,01JZ3N5580F22SME7YWP6763V2,14.99,4.497,18,0.37,99.8334,269.82,80.946,10.493,188.874
AM053527,AGU-166262,01JZ3N52G9KWBBS5W8K65XVX37,5.79,1.737,3,0.04,0.6948,17.37,5.211,4.053,12.159
